Category,Question,Correct Answer,Incorrect Answer 1,Incorrect Answer 2,Incorrect Answer 3,Reference URL,Country specific? Leave blank if not,,,General Knowledge
Food & Drink,Apple pie originated in which country?,England,United States,China,Poland,https://food52.com/blog/24688-apple-pie-origin-story,,,,Geography
Geography,What is the national animal of Scotland?,Unicorn,Lamb,Cow,Horse,https://www.scotsman.com/arts-and-culture/why-unicorn-scotlands-national-animal-1489215,,,,History
TV & Movies,Who directed the 1997 blockbuster movie 'Titanic?',James Cameron,Steven Spielberg,Jerry Bruckheimer,Martin Scorcese,https://www.britannica.com/biography/James-Cameron,,,,Music
Science & Technology,"In 1924, half of the cars in the world were __________.",Fords,Chariots,Chevrolets,Blue,https://www.louwmanmuseum.nl/en/car/ford-model-t-tudor/,,,,Sports
TV & Movies,"In real life, how many children did 'I Love Lucy' stars Lucille Ball and Desi Arnaz have together?",2,0,8,5,https://www.closerweekly.com/posts/lucille-ball-and-desi-arnaz-kids-meet-the-tv-stars-2-children/,,,,Science & Technology
Sports,Which country won the very first FIFA cup in 1930?,Uruguay,Portugal,Argentina,Spain,https://www.fifa.com/worldcup/archive/uruguay1930/,,,,TV & Movies
Science & Technology,Apple released the first version of iPhone in what year?,2007,2005,2001,2010,https://www.businessinsider.com/first-phone-anniversary-2016-12,,,,World Politics
Music,In which country did the band AC/DC originate in?,Australia,England,Canada,Sweden,https://www.britannica.com/topic/AC-DC,AU,,,Plants & Animals
World Politics,Who was the first female Prime Minister of Great Britain?,Margaret Thatcher,Tracy Brabin,Theresa May,Margot James,https://www.britannica.com/biography/Margaret-Thatcher,,,,Religion
Food & Drink,Approximately how many eggs does McDonald’s purchase for their restaurants every year?,2 Billion,10 Billion,500 Million,15 Million,https://www.restaurantdive.com/news/mcdonalds-cage-free-egg-progress-signals-an-industry-sea-change/552588/,,,,Maths & Numbers
TV & Movies,Sir Ian Fleming created which world-famous spy?,James Bond,Jason Bourne,Agent 99,Nikita,http://www.ianfleming.com/,,,,Words & Language
Words & Language,What is the official name for the pound sign/hashtag (#)?,Octothorpe,Tilda,Tagalog,Auggie,https://www.dictionary.com/e/octothorpe/,,,,Food & Drink
Music,w many Grammy Awards did Elvis win in his lifetime?,3,10,0,17,https://www.reuters.com/article/us-elvispresley/elvis-presley-lands-posthumous-grammy-nomination-idUSTRE7BJ2AJ20111220,,,,
Geography,Which country produces more coffee than any other nation in the world?,Brazil,Colombia,Cuba,Argentina,https://www.homegrounds.co/brazilian-coffee/,,,,
Sports,What is the only National Football League (NFL) team to have a plant for their logo?,Saints,Texans,Browns,Steelers,https://fikklefame.com/final-jeopardy-11-7-14/,,,,
General Knowledge,How many prisoners were executed in the United States in 2019?,20,109,1,55,https://deathpenaltyinfo.org/executions/2019,US,,,
TV & Movies,"The comedy trio Larry, Curly and Moe are better known as what?",The Three Stooges,The Three Amigos,Our Gang,Apple Dumpling Gang,https://www.threestooges.com/,,,,
General Knowledge,"In 2019, a woman in India became the oldest to give birth. How old was she?",74,60,93,81,https://www.advisory.com/daily-briefing/2019/09/10/oldest-mom,,,,
Music,"Formed in 1972, what band contained members Andrew ""Bear"" James, Jim Moginie, Peter Garrett and Martin Rotsey?",Midnight Oil,AC/DC,INXS,Daddy Cool,https://www.google.com/amp/s/theculturetrip.com/pacific/australia/articles/top-10-iconic-bands-formed-in-australia/%3famp=1,AU,,,
Geography,What is the richest country in the world?,Qatar,Abu Dhabi,Dubai,Saudi Arabia,https://www.google.com/amp/s/amp.usatoday.com/amp/39630693,,,,
Sports,Who was the least NRL team to win back to back premierships in 1992-1993?,Brisbane Broncos,St. George Dragons,Newcastle Knights,Western Suburb Magpies,http://lockerroom.moneyball.com.au/2020/03/10-fascinating-facts-about-the-nrl/,AU,,,
History,Famous conqueror Napoleon Bonaparte was once attacked by a horde of what?,Rabbits,Water Buffalo,Locusts,Lions,"https://www.historyanswers.co.uk/people-politics/napoleons-battle-against-rabbits/#:~:text=Napoleon's%20battle%20against%20rabbits,horde%20of%20rampaging%20fluffy%20bunnies.",,,,
Sports,"Which men's Australian Cricket team member made his debut as a leg-spinner, not a batsman?",Steve Smith,Adam Gilchrist,Shane Warne,Michael Hussey,https://www.google.com/amp/s/circleofcricket.com/amp/category/featured/22310/steve-smith-journey-from-being-a-leg-spinner-to-one-of-worlds-modern-great-batsmen,AU,,,
Geography,What are the Canary Islands named after?,Dogs,Birds,Prime Minister,Plants,https://www.google.com/amp/s/www.worldatlas.com/amp/articles/did-you-know-that-the-canary-islands-are-named-after-dogs.html,,,,
General Knowledge,What percentage of Antarctic glacier ice is made of penguin urine?,3%,16%,0%,57%,"https://theproenzablog.com/3-percent-of-the-ice-in-antarctic-glaciers-is-penguin-urine/#:~:text=It%20is%20been%20reported%20that,or%20can%20get%20evaporated%20out.",,,,
Maths & Numbers,How many countries don't use the metric system?,3,1,5,10,https://www.worldatlas.com/articles/countries-that-don-t-actually-use-the-metric-system.html,,,,
Geography,Which country is most earthquake-prone?,Japan,Tahiti,Guatamala,India,https://www.worldatlas.com/articles/the-world-s-10-most-earthquake-prone-countries.html,,,,
Geography,"How many countries names begin with ""The?""",2,0,7,4,https://www.worldatlas.com/articles/countries-whose-official-names-begin-with-the.html,,,,
General Knowledge,"The world's oceans are home to nearly 200,000 types of what?",Viruses,Fish,Plants,Algae,https://www.cnn.com/2019/04/26/health/oceans-virus-species-scn-trnd/index.html,,,,
Plants & Animals,Which country has more pets per household than any other?,New Zealand,Australia,United States,Japan,https://www.petsecure.com.au/pet-care/a-guide-to-worldwide-pet-ownership/,,,,
General Knowledge,The world's adult literacy rate is around what percent?,86%,52%,70%,29%,"https://ourworldindata.org/literacy#:~:text=Global%20literacy%20today,95%25%20have%20basic%20literacy%20skills.",,,,
Food & Drink,What causes more weight gain than any other food?,Potato Chips,Vegemite,Soft Drinks,Chocolate,https://www.bloomberg.com/news/articles/2011-06-22/potato-chips-add-pounds-while-yogurt-slims-harvard-study-finds,,,,
Geography,Which country's population is the shortest in the world?,Indonesia,France,China,South Korea,https://www.telegraph.co.uk/travel/maps-and-graphics/the-tallest-and-shortest-countries-in-the-world/,,,,
Plants & Animals,Clams have what?,Feet,Emotions,Jobs,Fingers,https://video.nationalgeographic.com/video/00000144-0a29-d3cb-a96c-7b2d693c0000,,,,
TV & Movies,The Incredible Hulk was actually supposed to be __________:,Gray,Female,Red,Thin,https://io9.gizmodo.com/the-many-colors-of-hulkdom-a-complete-guide-353091,,,,
General Knowledge,Some people used to believe what grew on trees?,Lambs,Money,Children,Fish,https://blogs.scientificamerican.com/running-ponies/animal-or-vegetable-legend-of-the-vegetable-lamb-of-tartary/?redirect=1,,,,
Plants & Animals,Dogs have the ability to smell what?,Cancer,Fear,Rain,Colors,https://www.cnn.com/2015/11/20/health/cancer-smelling-dogs/index.html,,,,
History,How old was William Shakespeare when he died in 1616?,52,40,81,39,https://www.nosweatshakespeare.com/resources/life/shakespeares-death/,,,,
Food & Drink,Where was the fortune cookie invented?,California,China,Japan,Germany,https://www.infoplease.com/history-fortune-cookie,,,,
General Knowledge,"Ancient Egyptians, Greeks and Romans used what as bandages?",Spider Webs,Banana Peels,Fish Intestines,Hairballs,https://www.google.com/amp/s/thewildpharma.wordpress.com/2017/02/07/the-amazing-healing-power-of-spiders-webs/amp/,,,,
Science & Technology,One quarter of a humans bones are located where in the body?,Feet,Ears,Skull,Hands,"https://www.kidsdiscover.com/quick-reads/10-facts-feet/#:~:text=One%20quarter%20of%20your%20body's,polydactylism%2C%20have%20even%20more.)&text=If%20your%20whole%20foot%20touches,stand%2C%20you%20have%20flat%20feet.",,,,
Geography,Australia has these in pink and purple:,Lakes,Mountains,Kangaroos,Islands,https://maps.roadtrippers.com/trips/20359604,AU,,,
General Knowledge,The inventor of the __________ is now buried in one:,Pringles Can,Car,Basketball,Kleenex Box,https://www.google.com/amp/s/amp.theguardian.com/world/2008/jun/02/usa2,,,,
Sports,"The world's fastest man, Usain Bolt, suffers from what medical condition?",Scoliosis,Multiple Sclerosis,Rheumatoid Arthritis,Fibromyalgia,https://spiralspine.com/usain-bolt-fastest-man-has-scoliosis/,,,,
Geography,More than half of the population of Iceland believe in what?,Elves,Santa Claus,Magic,Ghosts,https://www.google.com/amp/s/api.nationalgeographic.com/distribution/public/amp/travel/destinations/europe/iceland/believes-elves-exist-mythology,,,,
General Knowledge,Cotton candy was invented by a man who did what as a career?,Dentist,Baker,Circus Clown,Actor,https://www.deltadentalia.com/a-healthy-life/just-for-kicks/the-inventor-of-cotton-candy-was-actually-a-dentist-/,,,,
Religion,Taoism originated in which nation?,China,India,North Korea,Finland,https://www.travelchinaguide.com/intro/religion/taoism/what_is.htm,,,,
Food & Drink,One in three fish sold in markets and restaurants is _________:,Mislabeled,Salmon,Underweight,Overpriced,https://www.npr.org/sections/thesalt/2013/02/21/172589997/one-in-three-fish-sold-at-restaurants-and-grocery-stores-is-mislabeled,,,,
General Knowledge,This insect can live longer than any other (up to 100 years!):,Termite,Cockroach,Silverfish,Earwig,https://www.termiteboys.com/new-termites-found-after-100-years-the-termite-boys/,,,,
General Knowledge,One of these is located above the U.S. Supreme Court:,Basketball Court,Supermarket,Movie Theater,Church,https://www.atlasobscura.com/places/highest-court-of-the-land,,,,
Science & Technology,"What falls from the sky at least once a year in Yoro, Hunduras?",Fish,Water,Snow,Frogs,https://www.google.com/amp/s/www.nytimes.com/2017/07/16/world/americas/honduras-rain-fish-yoro.amp.html,,,,
Plants & Animals,A mosquito has how many teeth?,47,0,6,120,https://endmosquitoes.com/do-mosquitoes-have-teeth-number/,,,,
Religion,God gave Moses the Ten Commandments atop which mountain?,Mount Sinai,Mount Olympus,Mount Partheneon,Mount Meharry,https://www.churchofjesuschrist.org/manual/old-testament-stories/chapter-19-the-ten-commandments?lang=eng,,,,
Religion,The book of the Islamic religion is known as what?,Quran,Veda,Guru Granth Sahib,New Testament,https://rlp.hds.harvard.edu/religions/islam/quran-word-god,,,,
